"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"msdtc","0","243","2203405115392","1617920","3067904","13768","C:\Windows\System32\msdtc.exe","Microsoft Corporation","0.234375","2001.12.10941.16384 (WinBuild.160101.0800)","10.0.19041.1","Microsoft Distributed Transaction Coordinator Service","Microsoft? Windows? Operating System","Process","8",,"False",,"3532","Microsoft.Win32.SafeHandles.SafeProcessHandle","243","3256",".","0","","System.Diagnostics.ProcessModule (msdtc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13768","13768","3067904","3067904","92360","92360","3969024","3969024","12058624","12058624","88465408","2203406688256","True","Normal","3067904","3067904","00:00:00.1562500","msdtc","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.0781250","86892544","2203405115392","False",,,,"1617920","1617920",,
"msedge","1","178","2358456295424","1241088","8945664","11688","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.125","144.0.3719.115","144.0.3719.115","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3556","Microsoft.Win32.SafeHandles.SafeProcessHandle","178","2180",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11688","11688","8945664","8945664","805464","805464","10002432","10002432","17620992","17620992","536027136","2358473072640","True","Normal","8945664","8945664","00:00:00.1093750","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:37:30 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0156250","519249920","2358456295424","False",,,,"1241088","1241088",,
"msedge","1","1200","2444899291136","13643776","47812608","45352","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","3.5625","144.0.3719.115","144.0.3719.115","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3588","Microsoft.Win32.SafeHandles.SafeProcessHandle","1200","3108",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","45352","45352","47812608","47812608","1183088","1183088","81485824","81485824","95141888","95141888","1134125056","2444970516480","True","Normal","47812608","47812608","00:00:02.2031250","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:37:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.5625000","00:00:01.3593750","1062899712","2444899291136","False",,,,"13643776","13643776",,
"msedge","1","332","2358553661440","5091328","12406784","17672","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.78125","144.0.3719.115","144.0.3719.115","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3620","Microsoft.Win32.SafeHandles.SafeProcessHandle","332","4652",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17672","17672","12406784","12406784","876560","876560","14999552","14999552","32169984","32169984","679538688","2358616584192","True","Normal","12406784","12406784","00:00:00.4218750","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:37:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7812500","00:00:00.3593750","616615936","2358553661440","False",,,,"5091328","5091328",,
"msedge","1","282","2358523129856","3342336","12140544","15896","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.3125","144.0.3719.115","144.0.3719.115","Microsoft Edge","Microsoft Edge","Process","10",,"False",,"3660","Microsoft.Win32.SafeHandles.SafeProcessHandle","282","6632",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15896","15896","12140544","12140544","840544","840544","12242944","12242944","23609344","23609344","602861568","2358539907072","True","AboveNormal","12140544","12140544","00:00:00.2031250","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:37:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3125000","00:00:00.1093750","586084352","2358523129856","False",,,,"3342336","3342336",,
"msedge","1","142","2306567020544","708608","2400256","9376","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.0625","144.0.3719.115","144.0.3719.115","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3692","Microsoft.Win32.SafeHandles.SafeProcessHandle","142","7108",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9376","9376","2400256","2400256","146072","146072","2490368","2490368","7704576","7704576","194748416","2306592186368","True","Normal","2400256","2400256","00:00:00.0312500","msedge","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:37:28 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0312500","169582592","2306567020544","False",,,,"708608","708608",,
"msedgewebview2","1","1104","2410576400384","24576","43233280","49448","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115\msedgewebview2.exe","Microsoft Corporation","1.8125","144.0.3719.115","144.0.3719.115","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","8",,"False",,"3724","Microsoft.Win32.SafeHandles.SafeProcessHandle","1104","1724",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","49448","49448","43233280","43233280","1196688","1196688","43327488","43327488","120422400","120422400","1124679680","2410601332736","True","Normal","43233280","43233280","00:00:01.2031250","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:43:54 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.8125000","00:00:00.6093750","1099747328","2410576400384","False",,,,"24576","24576",,
"msedgewebview2","1","356","2358572589056","0","16863232","21400","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115\msedgewebview2.exe","Microsoft Corporation","0.421875","144.0.3719.115","144.0.3719.115","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","10",,"False",,"3748","Microsoft.Win32.SafeHandles.SafeProcessHandle","356","2488",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21400","21400","16863232","16863232","879728","879728","19832832","19832832","53264384","53264384","644890624","2358581936128","True","AboveNormal","16863232","16863232","00:00:00.3593750","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:43:55 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4218750","00:00:00.0625000","635543552","2358572589056","False",,,,"0","0",,
"msedgewebview2","1","184","2358447468544","0","9080832","11280","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115\msedgewebview2.exe","Microsoft Corporation","0.109375","144.0.3719.115","144.0.3719.115","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","8",,"False",,"3776","Microsoft.Win32.SafeHandles.SafeProcessHandle","184","4412",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11280","11280","9080832","9080832","804832","804832","14499840","14499840","23515136","23515136","510423040","2358447468544","True","Normal","9080832","9080832","00:00:00.0937500","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:43:56 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0156250","510423040","2358447468544","False",,,,"0","0",,
"msedgewebview2","1","350","2358579855360","24576","13467648","27340","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115\msedgewebview2.exe","Microsoft Corporation","0.375","144.0.3719.115","144.0.3719.115","Microsoft Edge WebView2","Microsoft Edge WebView2","Process","8",,"False",,"3808","Microsoft.Win32.SafeHandles.SafeProcessHandle","350","6264",".","0","","System.Diagnostics.ProcessModule (msedgewebview2.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27340","27340","13467648","13467648","878592","878592","19931136","19931136","40976384","40976384","676364288","2358613409792","True","Normal","13467648","13467648","00:00:00.1718750","msedgewebview2","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:43:55 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3750000","00:00:00.2031250","642809856","2358579855360","False",,,,"24576","24576",,
